question,reference_answer,student_answer,label,student_answer_noisy,corruption_level
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By letting it sit in a dish for a day.,incorrect,Bt lerting itsihtinaa dishforadao.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Let the water evaporate and the salt is left behind.,correct,Lbt tieuaterevaporate and the saltisleftbehind.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated and left salt crystals.,correct,Tme wdterevaporhatedand leftsalt trystals.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I saw a pinkish grayish color that was blocking the water.,incorrect,Isaw aprikishgrayishcolor that wasbloeking the water.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You have to slowly tip the vial for only the water to go.,incorrect,"Yau hdvetoslowhly t""p thevialfaronlythe water to go.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","By pouring the water and salt into the thing, and letting the water evaporate.",correct,"Bt polring the whaterand saltinto oie thing, andlettingthe waterevaporate.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By slowly pouring it in a tray.,incorrect,Bt slawlypourinhgitian a tray.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water evaporated so there was only salt left.,correct,Tme wdterevaporhatedsao there wasonty salt left.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water with the salt in it and put it outside for the water to evaporate.,correct,"Wb puteeewather w""th thesalt wnttand putit outsideforthewater to evepoxate",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,incorrect,"Isepardtedthesahlt faom thewaterberausethe salt are onthe rocksthatare onthe0ottmandthewater is onphe to""f.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Because you can see salt in water.,incorrect,"Bbcauseyo""canseesaut in water.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I let the water evaporate.,correct,Ilet tieuaterevaporate.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up and left the salt.,correct,Tme wdterdriedupandleft thesalt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We let the water evaporate.,correct,Wb leteeewather evaporate.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The water dried up.,correct,Tme wdterdriedup.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",You just get water and the smashed mock rock and put the smashed rock and water together.,incorrect,Yau jlstgetwather avd thesmashedmackrock andputtheemashed rockandwarertogethr.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.","You put the water, a little bit, in a cup and leave it overnight.",incorrect,"Yau pltfhewahter,aa little bit,inecup and leave itavernight.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,correct,Wb evapstatedthesaut fromthewsrerbecause the waterevaporatedandseparaged.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,correct,Wb puteeewather avd saltin thePatridish.The waterdvaporatedand theraltbecam crystals.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the salt into a Petri dish and poured the water out.,incorrect,Wb polredthesahlt ivto a Petridwrh andpouredthe watdr out.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By the Petri dish.,incorrect,Bt theoutri dhish.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By putting water in a Petri dish and letting the water evaporate.,correct,Bt purting waterhinh Petridish srd lettingthe waterdvaporate.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Poured the top of the vial out.,incorrect,Pauredeeetophofnhe vial out.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The salt dissolved and the water evaporated and the salt went to the bottom.,correct,Tme sdltdissolvhed avd thewater dvaporated and the saltnentto thebottom.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put it in a evaporation dish and the water evaporated.,correct,Wb putrfin ahevaporationdisha dthewater evaporated.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I put it on the evaporating dish.,correct,Iput itsitheevaporating dish.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",By pouring the water into the salt.,incorrect,Bt polring the whaterinto thesalt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We poured the water out of the bottle.,incorrect,Wb polredthewahternut ofthe boorle.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Letting the water evaporate.,correct,Lbttingthuwatehrevaporate.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Put it on a dish and then the water gets in the air and the salt stays.,correct,Pnt itsitdish avd thenthewsrergets in the air asd thesaltstays.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I do not know.,incorrect,Ido notoiow.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The salt separated with the water because the salt was heavier but the water was not even heavy.,incorrect,"Tme sdltseparathed w""th thewaterberausethe salt was hesvier butthewateruasnot eenheavy.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,correct,Wb puteeewather ina clearcupa dletitsitand the waoer evaporated andrhe3altstayed.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",I put some water in a dish and let the water evaporate so the salt would stay.,correct,Iput samewater ihnavishand let oie water evaporate sothe salt wouldstay.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",Evaporate.,incorrect,Erapoeate.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you separate the salt from the water?,"The water was evaporated, leaving the salt.",The crystals were salt.,incorrect,Tme cryofals wheresaalt.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,incorrect,Wb uscdhagnifhyingglassesand sonesortof guidething toat tolduswhatdifiervnt indsof salt looks likc.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,You take a look through the magnifying glass.,incorrect,Yau tdkelookhthrnughthe magnwgyingglass.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because of the paper we looked at.,incorrect,Bbcauseofthepapher welookedat.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We looked at a piece of paper and one of the pictures looked like the crystals.,incorrect,Wb loakedata phieceoaf paper andonedfthe pictures loored likethecrystals.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They will not shine.,incorrect,Tmey milinotshine.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,They were square like salt.,correct,"Tmey merusquahre l""ke salt.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,incorrect,"Wb kncwfhecrhystals were salt betdusethe crystalidenoificationchartshawedusthtthedifferent kindsaf sal""twforecrystals.",0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,It said so on a paper.,incorrect,Ir saodnoona paper.,0.2
You used several methods to separate and identify the substances in mock rocks. How did you know the crystals were salt?,The crystals were square with Xs on the surface.,Because it was at it because we had a chart that could tell us that.,incorrect,Bbcauseitwasatitbechusewehadachdrtthat could tell uethat.,0.2
