index,ground_truth,ocr_output,cer
0,put down a resolution on the subject,Pux dusl 0 vejolubon O4 Llr _ >uQeak,0.6111
1,and he is to be backed by Mr. Will,o40 Lq _ 6 80 Qq _ baolea 64 Ar. W ;u,0.6765
2,nominating any more Labour life Peers,uowiuak;w3 a Llone_ Labaur life_ FeQjs,0.4865
3,M Ps tomorrow. Mr. Michael Foot has,MP< doxorrolo Mv Aicuae ( Fo6 lalA,0.4857
4,"Griffiths, M P for Manchester Exchange .",G+cF 4 4 P Poc Maucuoales Exeliauqe_,0.625
5,is to be made at a meeting of Labour,L Lo Qsq_ luade_ at & aeehua ak Laluv,0.5833
6,A MOVE to stop Mr. Gaitskell from,4 MOvE 4o 51o8 Ar_ Galbbell Fvomu,0.4545
7,0M P for Manchester Exchange .,Uct fudk Exckauy,0.7667
8,A MOVE to stop Mr. Gaitskell from nominating,A Hove k  Nor GahkU kou wbuua lu,0.6818
9,meeting of Labour 0M Ps tommorow . Mr. Michael,"MAl (u lalour 071 1 bubItou (c , (lcLl",0.6957
10,any more Labour life Peers is to be made at a,Iuuu lu6e La baut Uk Tn k ^ L bae a,0.6667
11,Foot has put down a resolution on the subject,tl kea [ut dbvu (Cx Ultou Cu kk Aul Kct,0.6444
12,"and he is to be backed by Mr. Will Griffiths ,",budl l (^ k 62 beckeel U U Gw Hn,0.7174
13,"which would appear to "" prop up "" an out-dated",ALl Ls 77pe8 2 77p 4 7 a-/_Cfy,0.7391
14,"Though they may gather some Left-wing support , a",772 M Ae 37625 5oxz Ze/_ ~if t773372,0.8163
15,"life peers into existence , they should not",7+7 12 ~ss_ 122 ILy ~ 6LE/ ~2,0.8372
16,and that Labour should not take any steps,Pa~/ Z  Zl~ =Es k 0 2 ke 81y,0.7805
17,now put forward nominees . He believes,Aol} 7l Fw~a 478 _ 7205 #_ L_E_ve5,0.7895
18,large majority of Labour M Ps are likely to,Lasg  ~ Za6 X ? 470 ZzzZ,0.7674
19,that the House of Lords should be abolished,Z_z 7 7_ Z_ 3Ll/ 22 ~lEk5,0.814
20,institution .,AhZ;~,1.0
21,opposed the Government Bill which brought,"27F6 +e/ 2 (7B ~A5i~z 2// 64,2 L~-]",0.878
22,turn down the Foot-Griffiths resolution . Mr.,74 ~ Clo+ 7L 73/_3-#K 756 EZ:_,0.8889
23,Foot's line will be that as Labour M Ps,Za 4A 2t Ze _ X 7,0.8205
24,"into existence , they should not now put",alo 24 ole AACS_ 1 Lees odaulo n0 MCu Ac,0.75
25,Though they may gather some Left-wing,Tou&l Ley aay Aalues Solr_ Lek Lua,0.5676
26,"which would appear to "" prop up "" an out-",0lc ljalala aprras- (o 4 pvoc up U a ou,0.5366
27,House of Lords should be abolished and,Houae  oC Loralb sloula br_ aloUolea ayA,0.4737
28,M Ps are likely to turn down the Foot-,"Mt , 0xq LlsLla 4o A4 dow4 As_ +ook",0.6053
29,that Labour should not take any steps,Hal LaQsl   sloulal 4ot (als _ act %r02,0.6486
30,be that as Labour M Ps opposed the,"62 4ua4 O> Lalouss M F , Oppoard Ao",0.5588
31,forward nominees . He believes that the,foruraa losweqqp 78 Ae_ brLoJQa Llak Fle_,0.7179
32,Government Bill which brought life peers,Go0q54*eLs Biu ilicl Svouqu ufe_ pror 3,0.6
33,Griffiths resolution . Mr. Foot's line will,6 ff'L MQboUol A Foks Lus_ wih,0.6744
34,"support , a large majority of Labour",Jappoc$ 0 laa_ uajorky aq Labees,0.5
35,will be that as Labour 0M Ps opposed the Govern-,19'U 8se  {locf QS Labyaw OM & %potccl Hl 6ouem,0.7083
36,that Labour should not take any steps which would,HGoct Kabout slculd uoY {al awl skeps ihx) iseulef,0.5102
37,"appear to "" prop up "" an out-dated institution .",Mppkrou 4o ptep %p Qu Qu} - dgledl  isksukom,0.6667
38,large majority of Labour 0m Ps are likely to turn,[atje agjsshy  % Kebsur  OM & q6e Lhely %o kum,0.5714
39,that the House of Lords should be abolished and,Huaf {l Houte   ef (ads slould Sxc 0bclshed axl,0.4681
40,"Though they may gather some Left-wing support , a","Thsugh   #ly ^%r (a Iker Som e U-uns Suppo t ,",0.4898
41,down the Foot-Griffiths resolution . Mr. Foot's line,docm Hle Feot _ Gs}-Hs tSclukon_ H; Foofs Lme,0.5769
42,"ment Bill which brought life peers into existence , they","Inut 3,1 wLc LyeuyGh Uk Prers ik exskucc, Yy",0.6071
43,should not now put forward nominees . He believes,skiuld Mof MOu Pyx dfesalard MOM i mCes Ike Uelruts,0.6122
44,get together to face the challenge from Sir,"Ixt keackkzc Az facc K Jllw? from S,",0.5814
45,members . THE two rival African Nationalist,"aewkes 7HE Awue"" alcl Aoan KahevaL:k",0.6512
46,"Roy Welensky , the Federal Premier .",(cy Welewky 1 Kk Vedral   Pemier,0.4167
47,Parties of Northern Rhodesia have agreed to,Tantis c Norllznn Rldeata {axe Atrreecl,0.5116
48,Peeresses have been created . Most Labour,(Peaemeo Mave Jeen cealeck Mcx Cabsw,0.4878
49,Labour has to have an adequate number of,Lalow- Aas k Mavx CM aclequale Mlunlet,0.525
50,sentiment would # still favour the abolition,peuluewl would #3il {aoou k  eblilicn,0.4773
51,"of the House of Lords , but while it remains","sf Mle Hauno/ Lotca , 84 wlb M rencum",0.5455
52,"Since 1958 , 13 Labour life Peers and",Sc A9sx 13 Laboew &k  Eeers d,0.4595
53,of members . THE two rival African,@q ir_AQss T4E +lo Voa( ihica,0.6176
54,Peeresses have been created . Most Labour,"#eooaaq , laq_ beqbl Ckqaleal Aa Lalboc",0.6829
55,"the challenge from Sir Roy Welensky ,","Ae _ challe_~&r _ Fvan S € ""Roy Wele_1sh6",0.6216
56,"of the House of Lords , but while it remains",o Ae _ Hauee @8 Loral ~) Out Wlil 14 Kqluauld,0.5909
57,have agreed to get together to face,wuq _ aqneq0 al Joaelyr) 40 #a&a_,0.7714
58,"Since 1958 , 13 Labour life Peers and",Siucn_ A4s& 43 Laluc 4fe_ teox auC,0.5946
59,the Federal Premier .,Lue _ ~FeolQ3a ( PurLes,0.8571
60,Labour has to have an adequate number,LaQo- LCs Jo haue OA adequale uuuls,0.4054
61,Nationalist Parties of Northern Rhodesia,Abesomc; & Poukes 04 NJor Lqy Rhoalo o @,0.725
62,sentiment would still favour the abolition,JexKar~ ialula 36u faucus Ao _ aloLi 6c,0.7143
63,Peeresses have been created . Most Labour sentiment,Reetesses haoe leem   Croledl Hest Kebeu SeuKsmeul,0.4902
64,"Since 1958 , 13 Labour life Peers and #",Stm € & Agoy A3 Kabawr @k ?eels Qul Rets,0.6923
65,"of Lords , but while it remains Labour has to","9f Pasds but agh,le 6Y Ke Wm$ Xabeur kos Yo",0.4889
66,"challenge from Sir Roy Welensky , the Federal Premier .",claltegs   Fou y Roy ` Welesky Hk Fedesel Txtuits,0.5273
67,two rival African Nationalist Parties of Northern,Yuo Sual PKca Nakwnelst PrKrs &f Naille elm,0.5714
68,would still favour the abolition of the House,W Guld sku Axvau #le abol- Ksm %f Hc Mausc,0.5556
69,have an adequate number of members . THE,ha (e Qli ad equa/ kemule MwLes THE,0.575
