gt_word,ocr_word,word_length,word_cer
put,pux,3,0.3333
down,dusl,4,0.75
a,0,1,1.0
resolution,vejolubon,10,0.4
on,o4,2,0.5
the,llr,3,1.0
subject,_,7,1.0
and,o40,3,1.0
he,lq,2,1.0
is,_,2,1.0
to,6,2,1.0
be,80,2,1.0
backed,qq,6,1.0
by,_,2,1.0
mr.,baolea,3,2.0
will,64,4,1.0
nominating,uowiuak;w3,10,0.7
any,a,3,0.6667
more,llone_,4,1.0
labour,labaur,6,0.1667
life,life_,4,0.25
peers,feqjs,5,0.6
m,mp<,1,2.0
ps,doxorrolo,2,4.5
tomorrow.,mv,9,0.8889
mr.,aicuae,3,2.0
michael,(,7,1.0
foot,fo6,4,0.5
has,lala,3,1.0
"griffiths,",g+cf,10,0.8
m,4,1,1.0
p,4,1,1.0
for,p,3,1.0
manchester,poc,10,0.9
exchange,maucuoales,8,1.0
.,exeliauqe_,1,10.0
is,l,2,1.0
to,lo,2,0.5
be,qsq_,2,2.0
made,luade_,4,0.75
at,at,2,0.0
a,&,1,1.0
meeting,aeehua,7,0.7143
of,ak,2,1.0
labour,laluv,6,0.5
a,4,1,1.0
move,move,4,0.0
to,4o,2,0.5
stop,51o8,4,0.75
mr.,ar_,3,0.6667
gaitskell,galbbell,9,0.4444
from,fvomu,4,0.5
0m,uct,2,1.5
p,fudk,1,4.0
for,exckauy,3,2.3333
manchester,,10,1.0
exchange,,8,1.0
.,,1,1.0
a,a,1,0.0
move,hove,4,0.25
to,k,2,1.0
stop,nor,4,0.75
mr.,gahku,3,1.6667
gaitskell,kou,9,0.8889
from,wbuua,4,1.25
nominating,lu,10,1.0
meeting,mal,7,0.8571
of,(u,2,1.0
labour,lalour,6,0.1667
0m,071,2,1.0
ps,1,2,1.0
tommorow,bubitou,8,0.875
.,(c,1,2.0
mr.,",",3,1.0
michael,(lcll,7,0.7143
any,iuuu,3,1.3333
more,lu6e,4,0.75
labour,la,6,0.6667
life,baut,4,1.0
peers,uk,5,1.0
is,tn,2,1.0
to,k,2,1.0
be,^,2,1.0
made,l,4,1.0
at,bae,2,1.0
a,a,1,0.0
foot,tl,4,1.0
has,kea,3,1.0
put,[ut,3,0.3333
down,dbvu,4,0.75
a,(cx,1,3.0
resolution,ultou,10,0.7
on,cu,2,1.0
the,kk,3,1.0
subject,aul,7,0.8571
and,budl,3,1.0
he,l,2,1.0
is,(^,2,1.0
to,k,2,1.0
be,62,2,1.0
backed,beckeel,6,0.5
by,u,2,1.0
mr.,u,3,1.0
will,gw,4,1.0
griffiths,hn,9,0.8889
",",,1,1.0
which,all,5,1.0
would,ls,5,0.8
appear,77pe8,6,0.6667
to,2,2,1.0
"""",77p,1,3.0
prop,4,4,1.0
up,7,2,1.0
"""",a-/_cfy,1,7.0
an,,2,1.0
out-dated,,9,1.0
though,772,6,1.0
they,m,4,1.0
may,ae,3,0.6667
gather,37625,6,1.0
some,5oxz,4,0.75
left-wing,ze/_,9,0.8889
support,~if,7,1.0
",",t773372,1,7.0
a,,1,1.0
life,7+7,4,1.0
peers,12,5,1.0
into,~ss_,4,1.0
existence,122,9,1.0
",",ily,1,3.0
they,~,4,1.0
should,6le/,6,1.0
not,~2,3,1.0
and,pa~/,3,1.0
that,z,4,1.0
labour,zl~,6,1.0
should,=es,6,1.0
not,k,3,1.0
take,0,4,1.0
any,2,3,1.0
steps,ke,5,0.8
now,aol},3,1.0
put,7l,3,1.0
forward,fw~a,7,0.7143
