index,ground_truth,ocr_output,cer
0,put down a resolution on the subject,put down a resolution on the subject,0.0
1,and he is to be backed by Mr. Will,and he is to be backed by Mr. Will,0.0
2,nominating any more Labour life Peers,nominating any more Labour life Peers,0.0
3,M Ps tomorrow. Mr. Michael Foot has,MPs tomorrow . Mr. Michael Foot has,0.0571
4,"Griffiths, M P for Manchester Exchange .","Griffiths , MP for Manchester Exchange .",0.05
5,is to be made at a meeting of Labour,is to be made at a meeting of Labour,0.0
6,A MOVE to stop Mr. Gaitskell from,# MOVE to stop Mr. Gaitskell from,0.0303
7,0M P for Manchester Exchange .,UMIP for Manchester Exchange .,0.0667
8,A MOVE to stop Mr. Gaitskell from nominating,A MOVE to stop Mr. Gaitskell from nominating,0.0
9,meeting of Labour 0M Ps tommorow . Mr. Michael,meeting of Labour 0MPs tomorrow . Mr. Michael,0.0652
10,any more Labour life Peers is to be made at a,any more Labour life Peers is to be made at a,0.0
11,Foot has put down a resolution on the subject,Foot has put down a resolution on the subject,0.0
12,"and he is to be backed by Mr. Will Griffiths ,","and he is to be backed by Mr. Will Griffiths ,",0.0
13,"which would appear to "" prop up "" an out-dated","which would appear to "" prop up "" an out-dated",0.0
14,"Though they may gather some Left-wing support , a","Though they may gather some Left-wing support , a",0.0
15,"life peers into existence , they should not","life peers into existence , they should not",0.0
16,and that Labour should not take any steps,and that Labour should not take any steps,0.0
17,now put forward nominees . He believes,now put forward nominees . He believes,0.0
18,large majority of Labour M Ps are likely to,large majority of Labour MPs are likely to,0.0233
19,that the House of Lords should be abolished,that the House of Lords should be abolished,0.0
20,institution .,institution .,0.0
21,opposed the Government Bill which brought,opposed the Government Bill which brought,0.0
22,turn down the Foot-Griffiths resolution . Mr.,turn down the Foot-Griffiths resolution . Mr.,0.0
23,Foot's line will be that as Labour M Ps,Foot's line will be that as Labour MPs,0.0256
24,"into existence , they should not now put","into existence , they should not now put",0.0
25,Though they may gather some Left-wing,Though they may gather some Left-wing,0.0
26,"which would appear to "" prop up "" an out-","which would appear to "" prop up "" an out-",0.0
27,House of Lords should be abolished and,House of Lords should be abolished and,0.0
28,M Ps are likely to turn down the Foot-,MPs are likely to turn down the Foot-,0.0263
29,that Labour should not take any steps,that Labour should not take any steps,0.0
30,be that as Labour M Ps opposed the,be that as Labour MPs opposed the,0.0294
31,forward nominees . He believes that the,forward nominees . He believes that the,0.0
32,Government Bill which brought life peers,Government Bill which brought life peers,0.0
33,Griffiths resolution . Mr. Foot's line will,Griffiths resolution . Mr. Foot's line will,0.0
34,"support , a large majority of Labour","support , a large majority of Labour",0.0
35,will be that as Labour 0M Ps opposed the Govern-,will be that as Labour 0MPs opposed the Govern-,0.0208
36,that Labour should not take any steps which would,that Labour should not take any steps which would,0.0
37,"appear to "" prop up "" an out-dated institution .","appear to "" prop up "" an out-dated institution .",0.0
38,large majority of Labour 0m Ps are likely to turn,large majority of Labour 0MPs are likely to turn,0.0408
39,that the House of Lords should be abolished and,that the House of Lords should be abolished and,0.0
40,"Though they may gather some Left-wing support , a","Though they may gather some Left-wing support , a",0.0
41,down the Foot-Griffiths resolution . Mr. Foot's line,down the Foot-Griffiths resolution . Mr. Foot's line,0.0
42,"ment Bill which brought life peers into existence , they","ment Bill which brought life peers into existence , they",0.0
43,should not now put forward nominees . He believes,should not now put forward nominees . He believes,0.0
44,get together to face the challenge from Sir,get together to face the challenge from Sir,0.0
45,members . THE two rival African Nationalist,members . THE two rival African Nationalist,0.0
46,"Roy Welensky , the Federal Premier .","Roy Welensky , the Federal Premier .",0.0
47,Parties of Northern Rhodesia have agreed to,Parties of Northern Rhodesia have agreed to,0.0
48,Peeresses have been created . Most Labour,Peeresses have been created . Most Labour,0.0
49,Labour has to have an adequate number of,Labour has to have an adequate number of,0.0
50,sentiment would # still favour the abolition,sentiment would # still favour the abolition,0.0
51,"of the House of Lords , but while it remains","of the House of Lords , but while it remains",0.0
52,"Since 1958 , 13 Labour life Peers and","Since 1958 , 13 Labour life Peers and",0.0
53,of members . THE two rival African,of members . THE two rival African,0.0
54,Peeresses have been created . Most Labour,Peeresses have been created . Most Labour,0.0
55,"the challenge from Sir Roy Welensky ,","the challenge from Sir Roy Welensky ,",0.0
56,"of the House of Lords , but while it remains","of the House of Lords , but while it remains",0.0
57,have agreed to get together to face,have agreed to get together to face,0.0
58,"Since 1958 , 13 Labour life Peers and","Since 1958 , 13 Labour life Peers and",0.0
59,the Federal Premier .,the Federal Premier .,0.0
60,Labour has to have an adequate number,Labour has to have an adequate number,0.0
61,Nationalist Parties of Northern Rhodesia,Nationalist Parties of Northern Rhodesia,0.0
62,sentiment would still favour the abolition,sentiment would still favour the abolition,0.0
63,Peeresses have been created . Most Labour sentiment,Peeresses have been created . Most Labour sentiment,0.0
64,"Since 1958 , 13 Labour life Peers and #","Since 1958 , 13 Labour life Peers and #",0.0
65,"of Lords , but while it remains Labour has to","of Lords , but while it remains Labour has to",0.0
66,"challenge from Sir Roy Welensky , the Federal Premier .","challenge from Sir Roy Welensky , the Federal Premier .",0.0
67,two rival African Nationalist Parties of Northern,two rival African Nationalist Parties of Northern,0.0
68,would still favour the abolition of the House,would still favour the abolition of the House,0.0
69,have an adequate number of members . THE,have an adequate number of members . THE,0.0
70,Rhodesia have agreed to get together to face the,Rhodesia have agreed to get together to face the,0.0
71,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African","Party ( 280,000 members ) and Mr. Harry Nkumbula's African",0.0
72,to discuss a common course of action . Sir Roy is,to discuss a common course of action . Sir Roy is,0.0
73,Delegates from Mr. Kenneth Kaunda's United National Independence,Delegates from Mr. Kenneth Kaunda's United National Independence,0.0
74,violently opposed to Africans getting an elected majority,violently opposed to Africans getting an elected majority,0.0
75,"in Northern Rhodesia , but the Colonial Secretary ,","in Northern Rhodesia , but the Colonial Secretary ,",0.0
76,"National Congress ( 400,000 ) will meet in London today","National Congress ( 400,000 ) will meet in London today",0.0
77,"Mr. Iain Macleod , is insisting on a policy of change .","Mr. Iain Macleod , is insisting on a policy of change .",0.0
78,Delegates from Mr. Kenneth Kaunda's,Delegates from Mr. Kenneth Kaunda's,0.0
79,"( 280,000 members ) and Mr. Harry Nkumbula's","( 280,000 members ) and Mr. Harry Nkumbula's",0.0
80,"majority in Northern Rhodesia , but the","majority in Northern Rhodesia , but the",0.0
81,"African National Congress ( 400,000 ) will","African National Congress ( 400,000 ) will",0.0
82,meet in London today to discuss a common,meet in London today to discuss a common,0.0
83,United National Independence Party,United National Independence Party,0.0
84,"Colonial Secretary , Mr. Iain Macleod ,","Colonial Secretary , Mr. Iain Macleod ,",0.0
85,course of action . Sir Roy is violently,course of action . Sir Roy is violently,0.0
86,is insisting on a policy of change .,is insisting on a policy of change .,0.0
87,opposed to Africans getting an elected,opposed to Africans getting an elected,0.0
88,"Rhodesia , but the Colonial Secretary , Mr. Iain","Rhodesia , but the Colonial Secretary , Mr. Iain",0.0
89,getting an elected majority in Northern,getting an elected majority in Northern,0.0
90,"National Independence Party ( 280,000 members )","National Independence Party ( 280,000 members )",0.0
91,"Congress ( 400,000 ) will meet in London today","Congress ( 400,000 ) will meet in London today",0.0
92,to discuss a common course of action .,to discuss a common course of action .,0.0
93,"Macleod , is insisting on a policy of change .","Macleod , is insisting on a policy of I change .",0.0435
94,and Mr. Harry Nkumbula's African National,and Mr. Harry Nkumbula's African National,0.0
95,Delegates from Mr. Kenneth Kaunda's United,Delegates from Mr. Kenneth Kaunda's United,0.0
96,Sir Roy is violently opposed to Africans,Sir Roy is violently opposed to Africans,0.0
97,"chief aide , Mr. Julius Greenfield , telephoned","chief aide , Mr. Julius Greenfield , telephoned",0.0
98,his chief a report on his talks with,his chief a report on his talks with,0.0
99,the talks fall through . There are bound,the talks fall through . There are bound,0.0
100,"to be demonstrations . "" Yesterday Sir Roy's","to be demonstrations . "" Yesterday Sir Roy's",0.0
101,future . Said Mr. Nkumbula last night :,future . Said Mr. Nkumbula last night :,0.0
102,Mr. Macmillan at Chequers .,Mr. Macmillan at Chequers .,0.0
103,""" We want to discuss what to do if the",""" We want to discuss what to do if the",0.0
104,Sir Roy's United Federal Party is boycotting,Sir Roy's United Federal Party is boycotting,0.0
105,the London talks on the Protectorate's,the London talks on the Protectorate's,0.0
106,British Government gives in to Sir Roy and,British Government gives in to Sir Roy and,0.0
107,boycotting the London talks on the,boycotting the London talks on the,0.0
108,"do if the British demonstrations . ""","do if the British demonstrations . """,0.0
109,Sir Roy's United Federal Party is,Sir Roy's United Federal Party is,0.0
110,Protectorate's future . Said Mr. Nkumbula,Protectorate's future . Said Mr. Nkumbula,0.0
111,at Chequers .,at Cheanners .,0.2308
112,"Yesterday Sir Roy's chief aide , Mr.","Yesterday Sir Roy's chief aide , Mr.",0.0
113,a report on his talks with Mr. Macmillan,a report on his talks with Mr. Macmillan,0.0
114,"Julius Greenfield , telephoned his chief","Julius Greenfield , telephoned his chief",0.0
115,"last night : "" We want to discuss what to","last night : "" We want to discuss what to",0.0
116,British Government gives in to Sir Roy,British Government gives in to Sir Roy,0.0
117,and the talks fall through . There are bound,and the talks fall through . There are bound,0.0
118,future . Said Mr. Nkumbula last night :,future . Said Mr. Nkumbula last night .,0.0256
119,the London talks on the Protectorate's,the London talks on the Protectorate's,0.0
120,"chief aide , Mr. Julius Greenfield , telephoned","chief aide , Mr. Julius Greenfield , telephoned",0.0
121,Macmillan at Chequers .,Macmillan at Chequers .,0.0
122,""" We want to discuss what to do if the",""" We want to discuss what to do if the",0.0
123,Sir Roy's United Federal Party is boycotting,Sir Roy's United Federal Party is boycotting,0.0
124,his chief a report on his talks with Mr.,his chief a report on his talks with Mr.,0.0
125,"to be demonstrations . "" Yesterday Sir Roy's","to be demonstrations . "" Yesterday Sir Roy's",0.0
126,to the Africans and Liberals attending . These,to the Africans and Liberals attending . These,0.0
127,will meet to discuss the function of a,will meet to discuss the function of a,0.0
128,majority they are seeking . African delegates,majority they are seeking . African delegates,0.0
129,are studying them today . The conference,are studying them today . The conference,0.0
130,plans do not give the Africans the overall,plans do not give the Africans the overall,0.0
131,proposed House of Chiefs .,proposed House of Chiefs .,0.0
132,Lancaster House despite the crisis which had,Lancaster House despite the crisis which had,0.0
133,Mr. Macleod went on with the conference at,Mr. Macleod went on with the conference at,0.0
134,blown up . He has now revealed his full plans,blown up . He has now revealed his full plans,0.0
135,Mr. Macleod went on with the conference,Mr. Macleod went on with the conference,0.0
136,at Lancaster House despite the crisis,at Lancaster House despite the crisis,0.0
137,them today . The conference will meet,them today . The conference will meet,0.0
138,attending . These plans do not give the,attending . These plans do not give the,0.0
139,Africans the overall majority they are,Africans the overall majority they are,0.0
140,House of Chiefs .,House of Chiefs .,0.0
141,seeking . African delegates are studying,seeking . African delegates are studying,0.0
142,to discuss the function of a proposed,to discuss the function of a proposed,0.0
143,which had blown up . He has now revealed,which had blown up . He has now revealed,0.0
144,his full plans to the Africans and Liberals,his full plans to the Africans and Liberals,0.0
145,studying them today . The conference will meet,studying them today . The conference will meet,0.0
