index,ground_truth,ocr_output,cer
0,put down a resolution on the subject,pule Aowu a vesotrliorn cou bbhe_ Die Ve,0.5833
1,and he is to be backed by Mr. Will,"out WR we te QBQ- backer by hur, Wiu",0.5294
2,nominating any more Labour life Peers,OWL WO wag OuA UOWR Lohower Ute. § Fooro,0.8108
3,M Ps tomorrow. Mr. Michael Foot has,"MPs Souorrero, Myer. Michael Fant kay",0.3714
4,"Griffiths, M P for Manchester Exchange .","Gufs , WP Rox Mancradey Crotange _",0.525
5,is to be made at a meeting of Labour,wo to WUAAQ Akan metua ak Labour,0.5278
6,A MOVE to stop Mr. Gaitskell from,Lk MOVE to stoe Mr. GarbhkelR from,0.2121
7,0M P for Manchester Exchange .,ul v \ Vouguerles Cxdseuny.,0.7333
8,A MOVE to stop Mr. Gaitskell from nominating,A Mowe bk hop Me. Gaathebl | wiunelog,0.5455
9,meeting of Labour 0M Ps tommorow . Mr. Michael,wpe 4 last A oem. Te Lik,0.7391
10,any more Labour life Peers is to be made at a,e La bons Ll Tan u |b be wade al a,0.5556
11,Foot has put down a resolution on the subject,toh deon @ ttwolelion ou the ad,0.5778
12,"and he is to be backed by Mr. Will Griffiths ,","md le by be beced My Me. Wau Cre Hn,",0.5217
13,"which would appear to "" prop up "" an out-dated","sie coma see ke Pe a ="" one” atladad",0.7174
14,"Though they may gather some Left-wing support , a",a he ma phir come Lg ing sageer he *,0.551
15,"life peers into existence , they should not","bye Pra oul exe wee , they dee msaaelle",0.6512
16,and that Labour should not take any steps,aS 2 a a OK — shes,0.7317
17,now put forward nominees . He believes,F°EBUn a aren A ee oe e2@e es . H.. PaP es,0.8158
18,large majority of Labour M Ps are likely to,large. muy LK Laka (70 FR are Eta Ae,0.5814
19,that the House of Lords should be abolished,ms a x fot ge eS,0.7907
20,institution .,oe -,0.8462
21,opposed the Government Bill which brought,cpm tnel he Sci EM hand a,0.7805
22,turn down the Foot-Griffiths resolution . Mr.,Jhrn ohne Ka ae ~ ie ia pmtwt dherivn R PR,0.7556
23,Foot's line will be that as Labour M Ps,oak Hei we Zc Meare as Pe te PO a,0.7179
24,"into existence , they should not now put",who Arr Ghd Meas oolhoulonr noe 4d pul>,0.725
25,Though they may gather some Left-wing,THOUGH brew Wmory Qarrrdy comer Le Ue 7 WIEncy,0.8108
26,"which would appear to "" prop up "" an out-",DwWiew WaulcrK aPereea>r bo ne PYOP up on ow .,0.6585
27,House of Lords should be abolished and,Howes ak Llovaty olhau a boc ASa@® Woe aLcr,0.7632
28,M Ps are likely to turn down the Foot-,WP > rR Lathe bry dowy Ma Look -,0.6579
29,that Labour should not take any steps,Luatk LadQersry- shoulda uae hoahs_ Oy AVR Po,0.7297
30,be that as Labour M Ps opposed the,Op Lot ar Lators MPs cppomeck Ha,0.5
31,forward nominees . He believes that the,"FOR LIC HoMKAQDS, He eo UQVO4 Lua ha_",0.7692
32,Government Bill which brought life peers,"Ge 0OF Kuen bk “Bi DLO, byongh Li Co yOLOI~a",0.825
33,Griffiths resolution . Mr. Foot's line will,Bitte. wcotukon. Me. tools bem well,0.5349
34,"support , a large majority of Labour","Dapp’ , n LOT AS MLA lOn by at Laer",0.7222
35,will be that as Labour 0M Ps opposed the Govern-,NH ye Llak as Labow OM B&B ppoedl Lhe 0en-,0.4583
36,that Labour should not take any steps which would,"Lat Lebour should vor bal, Quy sters Ite) (Seidel",0.449
37,"appear to "" prop up "" an out-dated institution .",pea dp ‘prop up Qu but-~ daleof anSh hack Onn,0.6042
38,large majority of Labour 0m Ps are likely to turn,Large a) 6 o/ Kebour OM RB ave bhely 40 bum,0.4898
39,that the House of Lords should be abolished and,Hat Lie Mouse of Leids shoul be abolshed anol,0.234
40,"Though they may gather some Left-wing support , a",Thu Play may Goles Some ewig supp st q,0.449
41,down the Foot-Griffiths resolution . Mr. Foot's line,"down the Feet. 665 fies rsctukon, !r foots Lane",0.4423
42,"ment Bill which brought life peers into existence , they","pout Ell hid Leute f Lh pres lo erishuce, ey",0.5357
43,should not now put forward nominees . He believes,"should mot Nd pur Jeidard MOM UCES . te bebrvt,",0.4694
44,get together to face the challenge from Sir,yt Aegeller ho foe Me challenge from Ser,0.2791
45,members . THE two rival African Nationalist,nremberg. THE Awe piel Afptcan /aberdhh,0.4884
46,"Roy Welensky , the Federal Premier .","Roy Udeleuky , He Pobre Premier",0.3889
47,Parties of Northern Rhodesia have agreed to,Parhies af Merle Rbedoua tuave agrendt tem,0.4419
48,Peeresses have been created . Most Labour,,1.0
49,Labour has to have an adequate number of,labour Auer te Aare 1% aclequale winber of,0.4
50,sentiment would # still favour the abolition,,1.0
51,"of the House of Lords , but while it remains","of Ma Howe of Contr, Af uth ib peunin",0.5227
52,"Since 1958 , 13 Labour life Peers and","Gonce AIS8, AB Cabo hfe Bers avel",0.4865
53,of members . THE two rival African,QQ weaites. TWE tom wool bhiccn,0.5588
54,Peeresses have been created . Most Labour,“ReOdW2alo Warste. bean curealker. Mest Lahoauy,0.5854
55,"the challenge from Sir Roy Welensky ,",V2 ChHOMI_W GR froma Su Row Wartwahy,0.6757
56,"of the House of Lords , but while it remains",,1.0
57,have agreed to get together to face,Vave agure2oW to eek toael.s to sora,0.4571
58,"Since 1958 , 13 Labour life Peers and","Giucea ASE, ABZ lLawrus ULe Pear.» Auch",0.6757
59,the Federal Premier .,bes “Se chOrat Pueuccet.,0.7619
60,Labour has to have an adequate number,roQr0u- Clg da KARL Os ahequake uuilde),0.6486
61,Nationalist Parties of Northern Rhodesia,Motiomali a Povukhesn af Nar Maou Rhoatdan,0.575
62,sentiment would still favour the abolition,ments wWanrlo aki Droour Me abo hou,0.5952
63,Peeresses have been created . Most Labour sentiment,teeresses have hem Craleol Net ~bpur Seakwerk,0.451
64,"Since 1958 , 13 Labour life Peers and #","Siuce ASE, AB Kabour ble reels cul Pers",0.5385
65,"of Lords , but while it remains Labour has to",p| ws bul iShile it temas Labeur las te,0.3778
66,"challenge from Sir Roy Welensky , the Federal Premier .","Challe frou Sy oy Vell shy, Hu Feloial Peurep",0.4545
67,two rival African Nationalist Parties of Northern,#690 Hua ApS Cau Nakoualst arkre e| Meith etm,0.5918
68,would still favour the abolition of the House,Would SKM foveur tle abeltion of the Maca,0.3556
69,have an adequate number of members . THE,La. We Ou adequate pasar) of menses THE,0.425
70,Rhodesia have agreed to get together to face the,Phode se hour arteeal to fef Lope tle 46 face the,0.4167
71,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African","Pouty, (280,000 members) ond He Howry, Wrarerlowha's Krcow",0.4483
72,to discuss a common course of action . Sir Roy is,Ao liAgays & Crvmth Loum Ok adion. Sur Koy,0.5306
73,Delegates from Mr. Kenneth Kaunda's United National Independence,Dulegos 4omn He Kunal Kewnela's Undead Norionah Wridependonct.,0.4844
74,violently opposed to Africans getting an elected majority,violuiy oppowd 4o Meccan getting om elickaA wajorry,0.3684
75,"in Northern Rhodesia , but the Colonial Secretary ,","M Northam Rhoderr.o, but Ahe (olenial Secrrhowryy,",0.3333
76,"National Congress ( 400,000 ) will meet in London today","Wako Congres (00,000) WU Week “Un Loinden hota,",0.4182
77,"Mr. Iain Macleod , is insisting on a policy of change .",Mr laun Maglod i> innridhing on a poloy of change,0.2909
78,Delegates from Mr. Kenneth Kaunda's,"Deis aw ob. Frome Mie, Keowee Koa Un AX >",0.7143
79,"( 280,000 members ) and Mr. Harry Nkumbula's","| 28D, COO werrwhyos ) CAN hur. Harve NViubuUla >",0.5909
80,"majority in Northern Rhodesia , but the","wraonn bn wn «= Neer Maou Rook 010 , Q@ulk bra_",0.8462
81,"African National Congress ( 400,000 ) will","Adriaan NoMenar Cuqguces (400, COO } wil",0.4524
82,meet in London today to discuss a common,mead wr Lorckmn toray to chracran A Commun,0.475
83,United National Independence Party,"Wu teck Narticmad Wacprrddtuca, Poly",0.6765
84,"Colonial Secretary , Mr. Iain Macleod ,","Co\crnrork Seavakovn , Mic, lain Mac leach ,",0.5641
85,course of action . Sir Roy is violently,“asraG@ gh ache... Sit “ Ram le oraleud Wy,0.6923
86,is insisting on a policy of change .,"“ LnstoKus Cu pokow, a change -",0.5556
87,opposed to Africans getting an elected,AP PCRLA to Kpriccus agra ercd QlachkQar,0.7632
88,"Rhodesia , but the Colonial Secretary , Mr. Iain","pOcsia, Aut he CoCOwiak Secretary, hr lei",0.375
89,getting an elected majority in Northern,ee cei eimamamnais f° re”.,0.7436
90,"National Independence Party ( 280,000 members )",Ualienak Indlepincina turty (280'000 meméxr),0.383
91,"Congress ( 400,000 ) will meet in London today",Congren (400 000) will trat in (onan | HOt,0.3478
92,to discuss a common course of action .,to Yaiscuss @ cominon course of AChor |,0.2895
93,"Macleod , is insisting on a policy of change .","Mackoa, 1) ‘na on & ae of ia",0.6087
94,and Mr. Harry Nkumbula's African National,anh Mr. Harry VEumbulat Afncan Mahonat,0.2683
95,Delegates from Mr. Kenneth Kaunda's United,Delegatea rom Hr. tenth Kaunata’s Unite,0.2381
96,Sir Roy is violently opposed to Africans,ty ty a inlay Igaeiel 0 ae,0.7
97,"chief aide , Mr. Julius Greenfield , telephoned",drh medi Wor Yrbows Ureenbeld | trleplovad,0.5319
98,his chief a report on his talks with,In Anak o% report on wo tolls Lot,0.5
99,the talks fall through . There are bound,the ter fo thre we 1 Thee Or bound,0.375
100,"to be demonstrations . "" Yesterday Sir Roy's",,1.0
101,future . Said Mr. Nkumbula last night :,"Litre Sod Mr, Niewwbute Lert mrglt",0.5641
102,Mr. Macmillan at Chequers .,ie Mig cams ak Uneqpues? |,0.6667
103,""" We want to discuss what to do if the",jWe rok to dinum phot “to do u the,0.3947
104,Sir Roy's United Federal Party is boycotting,dee Ron Unnrted Tdorok Pty vo boycottng,0.4091
105,the London talks on the Protectorate's,klar tpi nae toltern ow We Pwo Kovnetke'y,0.7632
106,British Government gives in to Sir Roy and,al howrn wet oeveo ewe ee Pol Roy and,0.5714
107,boycotting the London talks on the,"Dorcan wa, deol Lewrden flotks on be",0.6471
108,"do if the British demonstrations . ""","ro =. bruce “Ratiok Agiuomasa Woh cre, r",0.8056
109,Sir Roy's United Federal Party is,Cl Poms Witch Tectosal “Ruby +,0.6364
110,Protectorate's future . Said Mr. Nkumbula,WQolecloratle. fulkue . Qaich = Mr. MV brruorutorn,0.6585
111,at Chequers .,Od Ciraneorn -,0.6923
112,"Yesterday Sir Roy's chief aide , Mr.","Neolerdawy Sur ‘Ron's, clus arian Me,",0.5278
113,a report on his talks with Mr. Macmillan,On vQ pote CM Aid tal lke ora Me . Mac uu Ucu,0.675
114,"Julius Greenfield , telephoned his chief","Jur Gueoenlielrsr , licplhewd bis anal",0.6
115,"last night : "" We want to discuss what to",love mrabr © 4 We werk to dracues whak to,0.4146
116,British Government gives in to Sir Roy,"Lats ak, foresmmsaat ge  & 2 Hay",0.7105
117,and the talks fall through . There are bound,ly! the taths fall thioreph. hive ae boro,0.3864
118,future . Said Mr. Nkumbula last night :,fteere. tad Me Abembeda Matt wg ht,0.5128
119,the London talks on the Protectorate's,He olowdon hatha wu the Ptectonrate ‘a,0.4474
120,"chief aide , Mr. Julius Greenfield , telephoned","title acide , fae fered, tobi horeo!",0.6596
121,Macmillan at Chequers .,,1.0
122,""" We want to discuss what to do if the","""Ye yaad h discwers whal dp ol ef the",0.4211
123,Sir Roy's United Federal Party is boycotting,Mi Avy 4 Uuted Fedral Shy AA dagen tl,0.5455
124,his chief a report on his talks with Mr.,"hy Athity a Apo tu tH Ualhsy wer Ses,",0.625
125,"to be demonstrations . "" Yesterday Sir Roy's","to £ Cece tatou, : ic es Soy /s",0.6136
126,to the Africans and Liberals attending . These,"fa Fe Afri cars Ano ky bu ak, oho he 9. ese",0.587
127,will meet to discuss the function of a,Lik meef fo doudng fre fin Ch'om of Q.,0.5526
128,majority they are seeking . African delegates,pIagort Ay ex Que Heke 3. rca oekeg oleg,0.6
129,are studying them today . The conference,"ase Sy ae 44 er ates, Ae confuerce",0.6
130,plans do not give the Africans the overall,pkorg alo not pve fA CYfre ary 4Le ovech,0.5476
131,proposed House of Chiefs .,Pro pore Kk Hou se of Aieh.,0.4615
132,Lancaster House despite the crisis which had,Lancag ks Horse Olea: be foe cersifs thr he ck,0.5227
133,Mr. Macleod went on with the conference at,I(r Hacleok went om vik fe Cm Ryerrce at,0.4286
134,blown up . He has now revealed his full plans,Axo torr yr. He A% no rvueaGck he full peas,0.4889
135,Mr. Macleod went on with the conference,"be, Macleak wou ac wk Wa_ ccongqonce",0.5385
136,at Lancaster House despite the crisis,oe Loucast2s Ware dAdoerke MWe arms,0.5946
137,them today . The conference will meet,no. toctay. THR. Contecuncg wre weak,0.5676
138,attending . These plans do not give the,OR Arn ~ Jesse place ado uc Boe Ang,0.6154
139,Africans the overall majority they are,Memcauns bea aveosarl maior by bua cud,0.5789
140,House of Chiefs .,"omer. of Cruroh,",0.7059
141,seeking . African delegates are studying,se2ling. Mincaun aaig qobQa oe slurring,0.55
142,to discuss the function of a proposed,to Ainckeas MWo_ Peo cu of a2 pvorceccd,0.6486
143,which had blown up . He has now revealed,Wok kacd Blowe ue. MO how ucHto *UCAQA,0.675
144,his full plans to the Africans and Liberals,bis LW Plaung bo eo. AQracese anh LKLbow,0.5814
145,studying them today . The conference will meet,shady ing the mn loolawy . The conference. will mee,0.2391
146,to discuss the function of a proposed House,to oli seuss hy Punckion of a proposed House,0.186
147,blown up . He has now revealed his full plans,blowh up. Ite has Wow  Vevenled Wis Full plans,0.2222
148,to the Africans and Liberals attending . These,fo Kh Afvicaus aud Lilevals altending - These,0.2174
149,plans do not give the Africans the overall majo-,plans Clo uuk Give rhe Aficans Hy ove val( Majo ~,0.3542
150,rity they are seeking . African delegates are,ri Fy hen Ve Seehkiny . African Aclegate s Ave,0.3111
151,Mr. Macleod went on with the conference at,Mr. [acleool wenk on wi th Fhe com ference ak,0.2143
152,Lancaster House despite the crisis which had,lavrtaskey Mouse despite the crisis Wack had,0.25
153,of Chiefs .,of En (eps ;,0.5455
154,secret negotiations on Northern Rhodesia's future .,"pecred rego hong on No, Ren Kho oleg/« fetase.",0.4902
155,"Minister of the Central African Federation , went",Mints pe of foe Contre! Chscen Techuehor Weqt,0.5306
